Checklist ID,Area,Check,Required Evidence,Owner,Status,Comments
ENV-001,Environment,Environment selected for pilot,Named pilot environment and access URL,,Not Started,
ENV-002,Environment,Backend environment variables configured,Environment variable review record excluding secrets,,Not Started,
ENV-003,Environment,Frontend API base URL configured,Frontend build or configuration reference,,Not Started,
ENV-004,Environment,Production safety validation passes,Startup log or readiness validation output,,Not Started,
ENV-005,Environment,CORS Allowed Origins restricted,Approved frontend origin list,,Not Started,
ENV-006,Environment,JWT Secret configured securely,Security owner confirmation without recording secret value,,Not Started,
ENV-007,Environment,Development Authentication Fallback disabled,Configuration review showing fallback disabled,,Not Started,
ENV-008,Environment,PostgreSQL database available,Database connectivity confirmation,,Not Started,
ENV-009,Environment,Alembic migration applied,Migration command output or migration version record,,Not Started,
ENV-010,Environment,Evidence Storage path configured,Storage path review and access confirmation,,Not Started,
ENV-011,Environment,Generated Reports path configured,Reports path review and access confirmation,,Not Started,
CI-001,CI,Backend CI green,Latest backend CI run link or status record,,Not Started,
CI-002,CI,Frontend CI green,Latest frontend CI run link or status record,,Not Started,
CI-003,CI,Backend health smoke green,Latest backend health smoke result,,Not Started,
CI-004,CI,Frontend preview smoke green,Latest frontend smoke result,,Not Started,
CI-005,CI,No critical CI warnings unresolved,CI warning review notes,,Not Started,
DATA-001,Data,Backup taken before pilot,Backup ID or storage location reference,,Not Started,
DATA-002,Data,Restore procedure reviewed,Restore procedure review sign-off,,Not Started,
DATA-003,Data,Backup verification completed,Backup verification output or review record,,Not Started,
DATA-004,Data,Data retention policy reviewed,Data retention review sign-off,,Not Started,
DATA-005,Data,No real sensitive investigation data loaded without approval,Data classification approval or confirmation,,Not Started,
DATA-006,Data,Evidence upload storage included in backup scope,Backup scope record,,Not Started,
DATA-007,Data,Generated reports storage included in backup scope,Backup scope record,,Not Started,
ACCESS-001,Access,Pilot users identified,Pilot user list approved for limited use,,Not Started,
ACCESS-002,Access,Admin user configured,Admin account verification record,,Not Started,
ACCESS-003,Access,Default/test passwords changed,Password change confirmation without password values,,Not Started,
ACCESS-004,Access,Test users disabled or clearly marked,Test user review record,,Not Started,
ACCESS-005,Access,LOW Authority Level memberships confirmed,LOW Authority Level membership review,,Not Started,
ACCESS-006,Access,MIDDLE Authority Level memberships confirmed,MIDDLE Authority Level membership review,,Not Started,
ACCESS-007,Access,HIGH Authority Level memberships confirmed,HIGH Authority Level membership review,,Not Started,
ACCESS-008,Access,Permission Matrix reviewed,Permission Matrix review sign-off,,Not Started,
ACCESS-009,Access,Unauthorized user access check completed,Unauthorized access test result,,Not Started,
SMS-001,SMS governance,Risk matrix seeded and reviewed,Risk matrix review record,,Not Started,
SMS-002,SMS governance,Governance committees configured,Committee configuration review,,Not Started,
SMS-003,SMS governance,Board of Origin rules reviewed,Board of Origin review notes,,Not Started,
SMS-004,SMS governance,Risk workflow reviewed,Workflow review sign-off,,Not Started,
SMS-005,SMS governance,Committee decision process reviewed,Committee process review notes,,Not Started,
SMS-006,SMS governance,Electronic Approval concept reviewed,Electronic Approval review sign-off,,Not Started,
SMS-007,SMS governance,Audit integrity expectations reviewed,Audit integrity review notes,,Not Started,
SMS-008,SMS governance,No Hard Delete principle reviewed,Data retention and archive review notes,,Not Started,
UAT-001,UAT,UAT Pack completed,Completed User Acceptance Test matrix,,Not Started,
UAT-002,UAT,Critical defects closed,Defect log showing no open critical defects,,Not Started,
UAT-003,UAT,Major defects reviewed,Major defect disposition record,,Not Started,
UAT-004,UAT,UAT sign-off recorded,User Acceptance Test sign-off record,,Not Started,
UAT-005,UAT,Open limitations documented,Accepted limitation list,,Not Started,
LOG-001,Logging,Production logging configured,Logging configuration review,,Not Started,
LOG-002,Logging,Request ID correlation enabled,Response or log sample with Request ID,,Not Started,
LOG-003,Logging,Health endpoint verified,/health result,,Not Started,
LOG-004,Logging,Readiness endpoint verified,/health/readiness result,,Not Started,
LOG-005,Logging,Logs reviewed for sensitive data exposure,Safe logging review record,,Not Started,
LOG-006,Logging,Troubleshooting procedure reviewed,Support procedure review notes,,Not Started,
DOC-001,Documentation,Operation limitations documented,Pilot limitation record,,Not Started,
DOC-002,Documentation,Backup procedure available,Backup procedure link or copy reference,,Not Started,
DOC-003,Documentation,Restore procedure available,Restore procedure link or copy reference,,Not Started,
DOC-004,Documentation,Data retention policy available,Data retention policy link or copy reference,,Not Started,
DOC-005,Documentation,Permission matrix available,Permission Matrix link or copy reference,,Not Started,
DOC-006,Documentation,UAT pack available,UAT Pack link or copy reference,,Not Started,
DOC-007,Documentation,Pilot deployment checklist approved,Approved Pilot Deployment Checklist,,Not Started,
DOC-008,Documentation,Operation Manual available and reviewed for pilot users,Operation Manual / User Guide review record,,Not Started,
