ID,Area,Required Item,Status,Evidence Link,Owner,Comments
REL-DOC-001,Release Documents,Release Notes v1.0,Not Started,docs/release-notes-v1.0.md,,
REL-DOC-002,Release Documents,Operation Manual,Not Started,docs/operation-manual.md,,
REL-DOC-003,Release Documents,Deployment Readiness Guide,Not Started,docs/deployment-readiness.md,,
REL-DOC-004,Release Documents,Backup and Restore Procedure,Not Started,docs/backup-and-restore.md,,
REL-DOC-005,Release Documents,Data Retention and Archive Policy,Not Started,docs/data-retention-and-archive-policy.md,,
REL-DOC-006,Release Documents,Permission Matrix,Not Started,docs/permission-matrix.md,,
REL-DOC-007,Release Documents,Electronic Approval Concept,Not Started,docs/electronic-approval-concept.md,,
REL-DOC-008,Release Documents,Production Logging and Monitoring Guide,Not Started,docs/production-logging-and-monitoring.md,,
REL-DOC-009,Release Documents,UAT Pack,Not Started,docs/user-acceptance-test-pack.md,,
REL-DOC-010,Release Documents,Pilot Deployment Checklist,Not Started,docs/pilot-deployment-checklist.md,,
REL-VAL-001,Validation Evidence,Backend pytest passed,Not Started,TBD,,
REL-VAL-002,Validation Evidence,Frontend build passed,Not Started,TBD,,
REL-VAL-003,Validation Evidence,Alembic migration passed,Not Started,TBD,,
REL-VAL-004,Validation Evidence,Backend CI green,Not Started,TBD,,
REL-VAL-005,Validation Evidence,Frontend CI green,Not Started,TBD,,
REL-VAL-006,Validation Evidence,Health smoke passed,Not Started,TBD,,
REL-VAL-007,Validation Evidence,Frontend smoke passed,Not Started,TBD,,
REL-VAL-008,Validation Evidence,Release version metadata added,Not Started,Backend readiness and frontend footer,,
REL-GOV-001,Governance Review,SMS review completed,Not Started,TBD,,
REL-GOV-002,Governance Review,Quality review completed,Not Started,TBD,,
REL-GOV-003,Governance Review,IT/cybersecurity review completed,Not Started,TBD,,
REL-GOV-004,Governance Review,Pilot users identified,Not Started,TBD,,
REL-GOV-005,Governance Review,Go / No-Go completed,Not Started,TBD,,
REL-TAG-001,Release Tagging,Release commit identified,Not Started,TBD,,
REL-TAG-002,Release Tagging,Release notes updated with commit SHA,Not Started,TBD,,
REL-TAG-003,Release Tagging,Git tag created,Not Started,TBD,,
REL-TAG-004,Release Tagging,Git tag pushed,Not Started,TBD,,
REL-TAG-005,Release Tagging,Release tag pending final review,Not Started,v1.0.0-pilot tag not created until review approval,,
