Procedure ID,Procedure Title,Primary Role,Related Feature,Expected Record or Evidence,Status,Notes
Procedure 01,Login and Session Verification,Any active user,Access and Login,Session observation or Request ID if failed,Not Started,
Procedure 02,Create a New Risk Record,SMS / Risk Owner,Risk Records,Risk record and creation Audit Trail entry,Not Started,
Procedure 03,Complete Risk Package,SMS / Risk Owner,Risk Package Completion,Updated risk package and Audit Trail entry,Not Started,
Procedure 04,Perform Initial Risk Assessment,SMS / Risk Owner,Initial Risk Assessment,Initial assessment record and Audit Trail entry,Not Started,
Procedure 05,Submit Risk to Board of Origin,SMS / Risk Owner,Risk Submission Workflow,Submission state and Audit Trail entry,Not Started,
Procedure 06,Record LOW Authority Level Committee Decision,LOW Authority Level committee member,Committee Decision Process,Decision record and Audit Trail entry,Not Started,
Procedure 07,Escalate Risk to MIDDLE Authority Level,LOW Authority Level committee member,Committee Decision Process,Escalation decision and Audit Trail entry,Not Started,
Procedure 08,Record MIDDLE Authority Level Committee Decision,MIDDLE Authority Level Risk Management Committee member,Committee Decision Process,Decision record and Audit Trail entry,Not Started,
Procedure 09,Escalate Risk to HIGH Authority Level,MIDDLE Authority Level Risk Management Committee member,Committee Decision Process,Escalation decision and Audit Trail entry,Not Started,
Procedure 10,Record HIGH Authority Level Acceptance,HIGH Authority Level Executive Safety Management Committee member,Committee Decision Process,Executive decision record and Audit Trail entry,Not Started,
Procedure 11,Create Mitigation Action,SMS / Risk Owner,Mitigation Actions,Mitigation action record and Audit Trail entry,Not Started,
Procedure 12,Complete Mitigation Action,Action Owner,Mitigation Actions,Action completion record and Audit Trail entry,Not Started,
Procedure 13,Perform Residual Risk Assessment,SMS / Risk Owner,Residual Risk Assessment,Residual assessment and Audit Trail entry,Not Started,
Procedure 14,Create Monitoring Review,SMS / Risk Owner or Monitoring Owner,Monitoring and Review Cycle,Monitoring review record and Audit Trail entry,Not Started,
Procedure 15,Complete Monitoring Review,Monitoring Owner,Monitoring and Review Cycle,Monitoring review completion and Audit Trail entry,Not Started,
Procedure 16,Upload Supporting Evidence,SMS / Risk Owner or authorized evidence contributor,Evidence Management,Evidence metadata and Audit Trail entry,Not Started,
Procedure 17,Generate Risk Dossier Report,SMS / Risk Owner,Reports and Exports,Generated report record and Audit Trail entry,Not Started,
Procedure 18,Export Risk Register,SMS / Risk Owner or authorized reviewer,Reports and Exports,Controlled export file reference and export audit event,Not Started,
Procedure 19,Export Audit Trail,System Administrator or audit reviewer,Audit Trail,Audit export file and export audit event,Not Started,
Procedure 20,Prepare Committee Meeting Pack,Committee member or meeting owner,Committee Meeting Packs,Meeting pack report and generation audit event,Not Started,
Procedure 21,Create and Finalize Committee Meeting Minutes,Committee member or meeting owner,Committee Meeting Minutes,Meeting minutes and finalization audit event,Not Started,
Procedure 22,Create Electronic Approval,Authorized approver,Electronic Approval / Signature Concept,Electronic Approval record and Audit Trail entry,Not Started,
Procedure 23,Review Notifications,Any active user,Notifications,Source records and resulting action audit entries,Not Started,
Procedure 24,Review Audit Trail,System Administrator or Audit / Governance Reviewer,Audit Trail,Audit Trail view or controlled export,Not Started,
Procedure 25,Admin: Create User,System Administrator,Admin Governance Management,User record and admin Audit Trail entry,Not Started,
Procedure 26,Admin: Assign Committee Membership,System Administrator,Admin Governance Management,Membership record and admin Audit Trail entry,Not Started,
Procedure 27,Backup Local Data,IT / Infrastructure Owner,Backup and Restore Procedure,Backup output and verification record,Not Started,
Procedure 28,Restore Local Data,IT / Infrastructure Owner,Backup and Restore Procedure,Restore log and verification result,Not Started,
Procedure 29,Check Health and Readiness,System Administrator or IT / Infrastructure Owner,Production Logging / Request ID,Health/readiness result and Request ID if available,Not Started,
Procedure 30,Execute Pilot Deployment Go / No-Go Checklist,System Owner,Pilot Deployment Checklist,Completed checklist and Go / No-Go decision record,Not Started,
